age,county,median,upper,lower
50,Cali-Val,-8.281770697395512,-8.097621981720208,-8.46716109830892
50,Buenaventura-Val,-8.9560562966496,-8.52200696053785,-9.442572376218337
55,Medellin-Ant,-8.220068207452847,-8.007133223263766,-8.439718350615506
55,Bello-Ant,-7.77555919060535,-7.43082370173317,-8.160754804517483
55,Barranquilla-Atl,-7.5606218448162394,-7.336178884968791,-7.786522411407084
55,Soledad-Atl,-8.591985377792415,-8.085544926617064,-9.158108800768595
55,Cartagena-Bol,-7.58986234194669,-7.3507075427124695,-7.83913725999535
55,Manizales-Cal,-8.067510482420364,-7.669733845526731,-8.480134786272618
55,Valledupar-Ces,-7.351311705991753,-7.047798951360794,-7.66609599838305
55,Monteria-Cor,-7.047400532853726,-6.764343354566094,-7.3164209752067535
55,Soacha-Cun,-7.84613315187072,-7.52569472968331,-8.199705902048356
55,Santa Marta-Mag,-7.535210989396546,-7.227482503688031,-7.846650901707543
55,Villavicencio-Met,-7.159498873588474,-6.824891162425013,-7.7380834984862
55,Pasto-Nar,-7.121068577480781,-6.8436563632860175,-7.403223332885072
55,Cucuta-N.,-6.977671294195716,-6.722512798017865,-7.4263218155956565
55,Pereira-Ris,-7.2680673273821315,-7.020569311279248,-7.52346540049047
55,Bucaramanga-San,-7.7660102267869835,-7.462124514406734,-8.094371373900039
55,Ibague-Tol,-7.514147539998511,-7.243936031314856,-7.7997640148217124
55,Cali-Val,-7.572907775445382,-7.396013117552543,-7.755801201228105
55,Buenaventura-Val,-8.106790732301349,-7.716353368929472,-8.565592058615604
60,Medellin-Ant,-7.652751327817148,-7.469276951650649,-7.8374934198842405
60,Bello-Ant,-7.088537536469902,-6.760486555448587,-7.424980421704681
60,Barranquilla-Atl,-7.001486802429988,-6.797646052724393,-7.217430015495331
60,Soledad-Atl,-7.9655350093902,-7.548858924852795,-8.4237373377732645
60,Cartagena-Bol,-7.034270754307331,-6.8045569663701615,-7.258898602553231
60,Manizales-Cal,-7.5271824792227715,-7.200020869487004,-7.889978762222978
60,Valledupar-Ces,-6.695324916561093,-6.419581565151033,-6.9932171321101775
60,Monteria-Cor,-6.4407866821052195,-6.178686829162058,-6.707257967469547
60,Soacha-Cun,-7.245140256695136,-6.94551725566357,-7.583795767827543
60,Santa Marta-Mag,-7.007505157344632,-6.711546629940086,-7.331288495812671
60,Villavicencio-Met,-6.454183160154642,-6.188125584335243,-6.769113365374397
60,Pasto-Nar,-6.417165374831868,-6.160427567269847,-6.672859125302879
60,Cucuta-N.,-6.269226017815708,-6.054570858775323,-6.509207078169502
60,Pereira-Ris,-6.709306407425356,-6.4776939203921,-6.957402271442076
