ano;edad;municipio;modelo;Mediana;LI95;LS95
2005;75-79;Mocoa-Putumayo;Bnegativo;410,8312413;210,7426929;767,178432
2010;75-79;Medellin-Antioquia;Bnegativo;309,8774827;256,9250751;369,9399314
2010;75-79;Soledad-Atlantico;Bnegativo;174,4175386;110,4932846;263,1403898
2010;75-79;Bogota, D.C.;Bnegativo;420,8111867;373,9819545;473,692651
2010;75-79;Popayan-Cauca;Bnegativo;340,0498116;228,7999922;483,0915112
2010;75-79;Valledupar-Cesar;Bnegativo;585,7735078;425,1626463;796,943752
2010;75-79;Fuente De Oro-Meta;Bnegativo;363,8251807;167,265586;737,9726076
2010;75-79;Mocoa-Putumayo;Bnegativo;358,981108;176,3394602;654,3187435
2017;75-79;Medellin-Antioquia;Bnegativo;199,5007552;161,1866114;242,0683171
2017;75-79;Soledad-Atlantico;Bnegativo;142,7841945;93,63366882;214,692112
2017;75-79;Bogota, D.C.;Bnegativo;254,2877519;221,0748087;288,8701595
2017;75-79;Popayan-Cauca;Bnegativo;395,3406165;279,9443001;550,4706551
2017;75-79;Valledupar-Cesar;Bnegativo;503,0665125;373,0094315;684,7552545
2017;75-79;Fuente De Oro-Meta;Bnegativo;381,0992959;163,2983232;843,6422744
2017;75-79;Mocoa-Putumayo;Bnegativo;290,4345139;135,6164859;575,65064
2005;40-44;Medellin-Antioquia;Bnegativo;6,551010277;4,556103885;9,187415773
2005;40-44;Soledad-Atlantico;Bnegativo;1,875473957;0,809584781;3,91901263
2005;40-44;Bogota, D.C.;Bnegativo;4,210879323;2,959791225;5,776242997
2005;40-44;Popayan-Cauca;Bnegativo;5,692219333;2,927209999;10,31366357
2005;40-44;Valledupar-Cesar;Bnegativo;8,986078844;5,018570818;16,10384316
2005;40-44;Fuente De Oro-Meta;Bnegativo;8,486615707;2,558690736;27,77265197
2005;40-44;Mocoa-Putumayo;Bnegativo;5,259441231;1,616065492;14,25976451
2010;40-44;Medellin-Antioquia;Bnegativo;4,398116456;2,873705283;6,629763492
2010;40-44;Soledad-Atlantico;Bnegativo;1,348235924;0,52692832;2,861441303
2010;40-44;Bogota, D.C.;Bnegativo;3,824463632;2,71468096;5,174211104
2010;40-44;Popayan-Cauca;Bnegativo;3,696958979;1,734711463;7,395382877
2010;40-44;Valledupar-Cesar;Bnegativo;8,729582896;4,799157368;15,04153221
2010;40-44;Fuente De Oro-Meta;Bnegativo;4,282772477;1,137503267;13,55153594
2010;40-44;Mocoa-Putumayo;Bnegativo;3,841167539;1,130031479;10,64528047
2017;40-44;Medellin-Antioquia;Bnegativo;2,944984081;1,779717889;4,570473051
2017;40-44;Soledad-Atlantico;Bnegativo;1,591585432;0,648116466;3,293924821
2017;40-44;Bogota, D.C.;Bnegativo;3,550497126;2,518357451;5,017436764
2017;40-44;Popayan-Cauca;Bnegativo;6,424490815;3,160922344;12,62336321
2017;40-44;Valledupar-Cesar;Bnegativo;7,377135097;3,844161098;12,61542309
2017;40-44;Fuente De Oro-Meta;Bnegativo;5,27404697;1,473445594;18,88584797
2017;40-44;Mocoa-Putumayo;Bnegativo;3,79983907;1,038980647;11,43888604
2005;20-24;Medellin-Antioquia;Bnegativo;0,774192039;0,437763576;1,32027753
2005;20-24;Soledad-Atlantico;Bnegativo;0,191551511;0,069059933;0,579921556
2005;20-24;Bogota, D.C.;Bnegativo;0,467440616;0,272071098;0,737698741
2005;20-24;Popayan-Cauca;Bnegativo;0,665095401;0,270432676;1,451674412
2005;20-24;Valledupar-Cesar;Bnegativo;1,149549898;0,521209955;2,523205609
2005;20-24;Fuente De Oro-Meta;Bnegativo;1,061995529;0,266067726;4,738470352
2005;20-24;Mocoa-Putumayo;Bnegativo;0,612859101;0,143063926;2,152765503
2010;20-24;Medellin-Antioquia;Bnegativo;0,529749227;0,275903344;1,105425669
2010;20-24;Soledad-Atlantico;Bnegativo;0,132281228;0,040154491;0,415644248
2010;20-24;Bogota, D.C.;Bnegativo;0,411994573;0,242783649;0,680323183
